Temperature (K),B2V Hard-Sphere (m^3/mol),B2V Square-Well (m^3/mol),B2V Lennard-Jones (m^3/mol)
100.0,4.938475327929691e+25,-2.0844930786796273e+26,-1.6098208483922938e+26
107.07070707070707,4.938475327929691e+25,-1.8074887199674996e+26,-1.4297834815931264e+26
114.14141414141415,4.938475327929691e+25,-1.5816498332471535e+26,-1.2788824830245089e+26
121.21212121212122,4.938475327929691e+25,-1.3943885124170664e+26,-1.1506432141347393e+26
128.2828282828283,4.938475327929691e+25,-1.236855074665569e+26,-1.0403675565942252e+26
135.35353535353536,4.938475327929691e+25,-1.1026653584169893e+26,-9.44566154775933e+25
142.42424242424244,4.938475327929691e+25,-9.871094223933306e+25,-8.605945630644243e+25
149.49494949494948,4.938475327929691e+25,-8.866435325375298e+25,-7.864129470900521e+25
156.56565656565658,4.938475327929691e+25,-7.985547205900682e+25,-7.204231488765705e+25
163.63636363636363,4.938475327929691e+25,-7.207337184825374e+25,-6.613556112342415e+25
170.70707070707073,4.938475327929691e+25,-6.515178158860711e+25,-6.0818926650484125e+25
177.77777777777777,4.938475327929691e+25,-5.895799322748736e+25,-5.6009372156448e+25
184.84848484848484,4.938475327929691e+25,-5.338489021752234e+25,-5.16386834613173e+25
191.91919191919192,4.938475327929691e+25,-4.8345125789307005e+25,-4.765031149033949e+25
198.989898989899,4.938475327929691e+25,-4.376680831627383e+25,-4.399698608666534e+25
206.06060606060606,4.938475327929691e+25,-3.95902604505343e+25,-4.063889159189965e+25
213.13131313131314,4.938475327929691e+25,-3.576555469553126e+25,-3.7542255946114395e+25
220.2020202020202,4.938475327929691e+25,-3.2250618091733936e+25,-3.467824808593881e+25
227.27272727272728,4.938475327929691e+25,-2.900975930383531e+25,-3.202210790677973e+25
234.34343434343435,4.938475327929691e+25,-2.601251286577587e+25,-2.9552453571583836e+25
241.41414141414143,4.938475327929691e+25,-2.323272412882755e+25,-2.7250725423907987e+25
248.4848484848485,4.938475327929691e+25,-2.0647818717804642e+25,-2.5100736109166546e+25
255.55555555555557,4.938475327929691e+25,-1.8238214739157229e+25,-2.308830399209496e+25
262.62626262626264,4.938475327929691e+25,-1.5986846396530867e+25,-2.1200952433301703e+25
269.6969696969697,4.938475327929691e+25,-1.3878775260336694e+25,-1.942766153480976e+25
276.7676767676768,4.938475327929691e+25,-1.190087102942468e+25,-1.7758661985455582e+25
283.83838383838383,4.938475327929691e+25,-1.0041547781638334e+25,-1.618526291283453e+25
290.9090909090909,4.938475327929691e+25,-8.290544831197898e+24,-1.469970737777298e+25
297.979797979798,4.938475327929691e+25,-6.638743673428952e+24,-1.3295050472014153e+25
305.0505050505051,4.938475327929691e+25,-5.078014300160879e+24,-1.1965056002364288e+25
312.1212121212121,4.938475327929691e+25,-3.6010855552849154e+24,-1.0704108539594243e+25
319.19191919191917,4.938475327929691e+25,-2.201435273478273e+24,-9.50713823278254e+24
326.26262626262627,4.938475327929691e+25,-8.731967821685686e+23,-8.369556280172716e+24
333.33333333333337,4.938475327929691e+25,3.8892099624902324e+23,-7.287199336381812e+24
340.4040404040404,4.938475327929691e+25,1.5897020861803024e+24,-6.256281445792095e+24
347.47474747474746,4.938475327929691e+25,2.7334824767940053e+24,-5.273352340523638e+24
354.54545454545456,4.938475327929691e+25,3.824201119290715e+24,-4.335261141744936e+24
361.6161616161616,4.938475327929691e+25,4.865444142339762e+24,-3.4391246654011676e+24
368.6868686868687,4.938475327929691e+25,5.860483311282106e+24,-2.5822996655733377e+24
375.75757575757575,4.938475327929691e+25,6.812309583747162e+24,-1.7623584567412177e+24
382.82828282828285,4.938475327929691e+25,7.723662473424674e+24,-9.770674449803e+23
389.8989898989899,4.938475327929691e+25,8.597055818420507e+24,-2.2436817133347937e+23
396.969696969697,4.938475327929691e+25,9.434800455858032e+24,4.9763946876938906e+23
404.04040404040404,4.938475327929691e+25,1.0239024226184594e+25,1.1907121157645826e+24
411.11111111111114,4.938475327929691e+25,1.1011689665858774e+25,1.8564761895381138e+24
418.1818181818182,4.938475327929691e+25,1.1754609693221498e+25,2.496439694770627e+24
425.2525252525253,4.938475327929691e+25,1.2469461547396688e+25,3.112002766875634e+24
432.32323232323233,4.938475327929691e+25,1.3157799202413839e+25,3.7044671124084485e+24
439.3939393939394,4.938475327929691e+25,1.3821064447109411e+25,4.2750444767133707e+24
446.4646464646465,4.938475327929691e+25,1.4460596794691777e+25,4.824864253675081e+24
453.5353535353535,4.938475327929691e+25,1.5077642363304265e+25,5.354980337202186e+24
460.6060606060606,4.938475327929691e+25,1.5673361849791104e+25,5.866377301072532e+24
467.67676767676767,4.938475327929691e+25,1.6248837702601889e+25,6.359975982646306e+24
474.74747474747477,4.938475327929691e+25,1.6805080585891283e+25,6.83663853641092e+24
481.8181818181818,4.938475327929691e+25,1.7343035215000684e+25,7.297173015114807e+24
488.8888888888889,4.938475327929691e+25,1.7863585633328884e+25,7.74233752917004e+24
495.95959595959596,4.938475327929691e+25,1.8367559991848542e+25,8.172844028888134e+24
503.03030303030306,4.938475327929691e+25,1.8855734884982305e+25,8.589361748814348e+24
510.1010101010101,4.938475327929691e+25,1.9328839290038427e+25,8.992520348826357e+24
517.1717171717172,4.938475327929691e+25,1.9787558151763665e+25,9.382912782658402e+24
524.2424242424242,4.938475327929691e+25,2.023253564867696e+25,9.76109792102316e+24
531.3131313131314,4.938475327929691e+25,2.066437817358932e+25,1.0127602953452592e+25
538.3838383838383,4.938475327929691e+25,2.1083657057006186e+25,1.0482925590308235e+25
545.4545454545455,4.938475327929691e+25,2.1490911058868407e+25,1.0827536084070624e+25
