Temperature (K),U Isolated (J),U SOC (J),U SOC & CFS (J),F Isolated (J),F SOC (J),F SOC & CFS (J),S Isolated (J/K),S SOC (J/K),S SOC & CFS (J/K)
300.0,-0.0,-1.5217828023168513e-24,-6.501150325203183e-22,-1.093083558922793e-20,-7.421481986469496e-21,-5.93193822697492e-21,3.6436118630759805e-23,2.4743636248949173e-23,2.2064217436845456e-23
317.17171717171715,-1.9274913264860586e-35,-2.17777564372279e-24,-7.546453125756323e-22,-1.1556506313190472e-20,-7.846372709936299e-21,-6.3108187284157e-21,3.6436118630759776e-23,2.4745511262395804e-23,2.2281238527938666e-23
334.34343434343435,2.1418503511414165e-35,-3.665225758574405e-24,-8.978556897120015e-22,-1.2182177037153014e-20,-8.271327827804302e-21,-6.6971524794495806e-21,3.643611863075973e-23,2.4750089123843752e-23,2.2720519088829775e-23
351.5151515151515,-2.3675089212824825e-35,-5.867587236670874e-24,-1.0514483506517447e-21,-1.2807847761115554e-20,-8.696375770755176e-21,-7.091119383991672e-21,3.6436118630759776e-23,2.4756524467155575e-23,2.3168068759649362e-23
368.6868686868687,2.604467036909258e-35,-8.995823755474932e-24,-1.2141920505450217e-21,-1.3433518485078097e-20,-9.121551900413684e-21,-7.49282352776077e-21,3.643611863075973e-23,2.476522574541732e-23,2.3619686085891064e-23
385.85858585858585,-0.0,-1.3282823740107208e-23,-1.384809683330048e-21,-1.4059189209040638e-20,-9.546898675143246e-21,-7.902300522295002e-21,3.643611863075973e-23,2.4776603653615976e-23,2.407162113116808e-23
403.030303030303,-3.1122819046199343e-35,-1.8977982072214778e-23,-1.5620218423523707e-21,-1.4684859933003178e-20,-9.972465561244939e-21,-8.319525667619067e-21,3.6436118630759776e-23,2.479105702652777e-23,2.4520607158588e-23
420.2020202020202,-0.0,-2.634130157973978e-23,-1.7445815266254795e-21,-1.531053065696572e-20,-1.0398308714438139e-20,-8.744422384307115e-21,3.6436118630759776e-23,2.4808960512914672e-23,2.4963864262642752e-23
437.3737373737374,3.6652949542734465e-35,-3.563740696568348e-23,-1.931300328627809e-21,-1.5936201380928263e-20,-1.0824490467749081e-20,-9.176870500881547e-21,3.6436118630759776e-23,2.4830654512421344e-23,2.5399082459391152e-23
454.54545454545456,-0.0,-4.712978777513864e-23,-2.1210669318588745e-21,-1.6561872104890806e-20,-1.1251078667389984e-20,-9.616714105134691e-21,3.643611863075987e-23,2.4856437560774826e-23,2.5824390823354312e-23
471.7171717171717,-4.2635061858697923e-35,-6.107550453906751e-23,-2.3128589997268014e-21,-1.7187542828853346e-20,-1.1678145899129225e-20,-1.0063768771582603e-20,3.6436118630759776e-23,2.4886561123386525e-23,2.6238318098361064e-23
488.8888888888889,4.57956111989653e-35,-7.772051420647307e-23,-2.5057496187167472e-21,-1.7813213552815888e-20,-1.2105768645364873e-20,-1.05178280600279e-20,3.643611863075968e-23,2.492122660551689e-23,2.6639749023032755e-23
506.06060606060606,-0.0,-9.729570338615757e-23,-2.6989094260460845e-21,-1.8438884276778428e-20,-1.2534026408813645e-20,-1.0978669243080697e-20,3.643611863075987e-23,2.4960584298001048e-23,2.702787952335343e-23
523.2323232323232,-5.245569624407128e-35,-1.2001366322342052e-22,-2.8916054509261088e-21,-1.906455500074097e-20,-1.2963000833377029e-20,-1.1446058265880441e-20,3.643611863075987e-23,2.5004733937092946e-23,2.7402172994012616e-23
